Ref.No,X1,X2,X3,X4,X5,X6,X7,Y
22203,320000,2,1,2,27,1,2,1
1288,470000,1,2,1,41,-2,-2,0
11822,20000,1,2,2,25,1,2,0
15085,80000,1,3,1,41,0,0,1
6192,30000,1,1,2,30,1,-2,1
12894,320000,2,2,1,39,0,0,0
2279,50000,2,3,1,37,2,0,1
1282,360000,1,1,2,34,1,-2,0
13334,50000,2,1,1,25,0,0,0
15251,30000,2,2,1,45,2,0,0
12165,130000,2,3,1,41,0,0,0
9895,270000,2,2,1,42,0,0,0
18930,200000,2,1,1,30,-2,-2,0
16828,150000,1,1,1,43,-2,-2,0
16492,50000,1,2,2,22,0,0,0
3785,30000,1,1,2,32,0,0,0
14665,30000,2,2,2,23,0,0,0
18146,260000,1,2,2,31,0,0,0
4376,60000,1,3,1,31,1,2,1
17544,20000,2,2,1,40,0,0,0
18421,40000,2,2,2,24,2,0,1
23940,50000,1,2,2,27,1,2,1
1273,370000,2,1,1,53,-1,-1,0
4811,300000,2,1,2,31,0,0,0
8334,360000,1,1,1,44,0,0,0
15711,270000,1,1,1,45,1,-1,0
16811,140000,1,3,1,38,0,0,0
13816,130000,1,1,2,43,0,0,0
20565,50000,1,3,2,25,0,0,0
9594,20000,2,1,2,26,2,2,1
22094,80000,2,1,2,28,1,-2,1
9479,400000,2,1,1,35,-2,-2,0
21812,20000,2,2,2,24,3,2,1
21541,30000,2,2,2,22,0,0,0
10636,90000,2,2,2,24,0,0,0
9923,60000,1,1,1,38,2,2,0
22717,240000,2,2,1,36,0,0,0
23621,100000,2,5,2,34,0,0,0
20834,20000,1,2,1,47,0,0,1
8398,100000,2,1,1,40,-1,-1,0
8188,160000,2,2,1,51,0,0,1
18865,130000,2,2,1,28,2,0,0
3344,300000,2,2,1,27,0,0,1
1742,180000,1,1,2,33,-1,-1,0
8325,100000,2,2,1,40,-1,-1,0
18603,400000,2,2,1,24,0,0,0
4809,190000,1,1,2,27,1,-1,0
15384,20000,2,3,1,45,2,2,1
229,50000,1,2,2,23,2,0,1
18318,40000,2,2,1,25,0,0,1
23090,220000,2,2,1,38,2,0,0
19670,180000,2,2,1,41,0,0,0
23113,70000,2,2,2,30,0,0,0
16753,140000,1,2,1,49,0,0,0
5299,200000,2,2,1,29,0,0,0
15676,80000,1,2,2,24,1,-2,1
6899,130000,2,3,2,39,0,0,0
8122,130000,1,1,2,28,0,0,0
13377,30000,2,2,1,29,0,0,0
5756,30000,2,3,1,29,1,2,0
6989,50000,1,3,1,51,1,2,1
15684,20000,1,3,2,28,1,2,0
2621,50000,2,2,2,44,0,0,0
11683,120000,2,2,2,23,0,0,0
9756,140000,1,1,1,31,2,0,0
7111,310000,1,2,2,27,-2,-2,0
23329,160000,2,1,2,35,-1,-1,0
3388,500000,1,1,1,37,-1,-1,0
2469,220000,1,1,2,31,0,0,0
1461,50000,2,2,1,37,2,2,1
19539,180000,2,1,2,30,0,0,0
9440,230000,2,2,1,44,-1,-1,1
17750,10000,2,3,1,52,-1,2,0
15950,120000,2,2,2,28,0,0,0
14780,30000,2,1,2,25,0,0,1
1302,10000,2,3,2,22,0,0,1
7820,50000,1,2,2,28,0,0,0
22866,80000,2,3,1,43,-1,-1,0
18518,30000,2,2,2,25,-2,-2,0
12973,30000,2,2,1,27,2,2,1
5947,70000,2,2,2,24,0,-1,1
5764,20000,1,2,1,35,0,0,0
14385,140000,2,3,1,25,-2,-2,0
14784,320000,2,2,2,36,-2,-2,1
18891,200000,2,1,2,28,1,2,1
21688,150000,2,2,2,24,1,-2,0
20004,400000,2,1,1,37,-1,0,0
7761,80000,1,3,1,38,-1,-1,1
12442,460000,1,1,2,34,0,0,0
22715,300000,2,1,1,41,-1,-1,0
18130,270000,1,2,1,40,0,0,1
6709,30000,2,2,2,24,2,2,0
13906,150000,2,1,2,32,-1,-1,0
1132,200000,2,2,2,34,1,-1,0
1956,10000,1,2,2,41,1,2,0
4992,410000,2,2,1,50,0,0,0
15002,80000,2,1,2,24,-1,0,0
12986,150000,1,1,2,36,0,0,0
14351,30000,2,2,2,22,0,0,0
15485,180000,1,1,1,36,1,-2,0
6285,150000,2,1,2,32,0,0,0
21174,430000,1,3,2,47,1,-1,0
9841,230000,2,2,2,23,-1,-1,1
2106,20000,1,1,2,23,-1,2,1
5958,100000,2,2,2,25,0,0,0
9909,360000,2,2,1,35,1,-2,0
2513,340000,1,1,1,34,-1,-1,1
16718,30000,1,2,1,36,-1,2,1
15130,150000,1,2,2,52,-2,-2,0
23204,440000,2,2,1,44,0,0,0
8076,100000,2,3,2,46,1,-1,0
