Ref.No,X8,X9,X10,X11,X12,X13,X14,X15
22203,2,2,2,2,43243,42537,41370,40694
1288,-2,-2,-2,-1,13780,12242,32463,20621
11822,0,0,0,0,20415,18266,18921,19297
15085,0,0,0,-1,76015,77582,60311,62471
6192,-2,-2,-2,-2,0,0,0,0
12894,0,0,0,0,147440,137938,131816,120761
2279,0,0,0,0,38527,39609,40352,41183
1282,-2,-2,-2,-1,0,0,0,0
13334,0,0,2,0,11324,11811,13008,12540
15251,0,0,0,0,31548,30226,31237,13511
12165,0,0,0,0,131728,132063,128599,131454
9895,0,0,0,0,225245,211517,165608,223292
18930,-2,-2,-2,-2,4833,6370,2342,810
16828,-2,-2,-1,-1,1000,0,0,1522
16492,2,0,0,0,51083,50043,98450,48689
3785,2,0,0,0,29250,30496,29702,28839
14665,0,0,0,0,12775,13864,14927,15378
18146,0,0,0,0,3113,3117,2924,2784
4376,0,0,0,0,69311,60059,54851,38863
17544,0,0,-1,-1,10470,10186,9936,10790
18421,0,0,0,0,19012,20018,21047,22360
23940,0,0,0,0,47568,46482,44546,40745
1273,-1,-1,-1,0,21160,8153,12094,30751
4811,-1,-1,0,0,60700,33843,5045,10288
8334,0,0,0,0,333549,342782,340216,344545
15711,-1,-1,-1,-1,0,278,608,494
16811,0,0,0,0,138329,138072,136377,106241
13816,0,0,0,0,130874,132743,131862,101971
20565,0,0,0,0,35227,36236,21068,18132
9594,2,2,2,2,300,300,300,300
22094,-2,-2,-2,-2,0,0,0,0
9479,-2,-2,-2,-1,10043,17883,9322,15693
21812,3,2,3,2,17690,19102,19502,20881
21541,0,0,0,0,19502,8999,11797,11972
10636,0,0,-2,-2,80699,68100,33434,0
9923,2,0,0,0,59310,60482,58748,49375
22717,0,0,0,0,214122,217850,212593,180867
23621,0,0,0,-1,91674,91348,87244,23181
20834,0,2,2,2,10628,11650,14252,13678
8398,-1,0,-1,-1,390,390,780,390
8188,0,2,0,0,67610,69908,78087,75255
18865,0,0,0,-2,98606,100143,50456,50000
3344,0,0,0,0,286321,283547,578971,293063
1742,-1,-1,-1,-1,2217,0,8264,0
8325,0,0,0,-1,10228,50764,52520,24550
18603,0,0,0,0,187790,176294,190256,89128
4809,0,0,0,0,-4370,82387,83701,85035
15384,3,2,2,0,21646,24390,23719,23936
229,0,0,0,0,49758,48456,44116,21247
18318,0,0,0,2,40633,40633,40311,39380
23090,0,0,0,0,166513,163731,167204,169009
19670,0,0,0,0,9309,7596,9086,11477
23113,2,0,0,0,10705,58825,53080,49153
16753,0,0,0,0,35815,36800,37344,37933
5299,0,0,0,0,61518,66541,53862,37056
15676,-2,-1,2,2,-1461,-1461,-1458,16950
6899,0,2,0,0,133825,134495,133745,130814
8122,0,0,0,-2,92174,93991,54735,31682
13377,0,0,0,0,15455,6570,11000,12460
5756,2,2,2,2,13164,12668,15038,14502
6989,0,0,0,0,48091,47028,46672,28478
15684,0,0,0,2,18953,14043,13266,14340
2621,0,0,-1,-1,49006,49139,47608,3990
11683,0,0,0,0,38609,41992,36607,38828
9756,0,2,2,2,51028,52112,55232,55932
7111,-2,-2,-2,-1,68928,43431,61756,88416
23329,-1,-1,-1,-1,19082,2815,27380,10028
3388,-1,-1,-1,-1,1961,1188,-150,150
2469,0,0,0,0,163148,158197,158956,157953
1461,3,3,3,3,1050,1050,1050,1050
19539,0,0,0,0,44478,40311,43847,50763
9440,-1,-1,-1,-1,5630,390,5090,19394
17750,2,2,2,2,2465,3475,4366,4148
15950,0,0,0,0,67087,66665,67525,67091
14780,0,0,0,-2,25115,26287,26602,21000
1302,2,0,0,0,10012,9784,9473,8947
7820,0,0,0,0,49417,48104,49348,28433
22866,-1,-1,0,0,1520,23190,0,19465
18518,-1,0,0,0,0,1232,27287,27874
12973,2,2,0,0,19193,20084,20460,19836
5947,0,0,0,-1,7033,1602,28199,28980
5764,0,0,0,-1,17584,19819,11280,3680
14385,-2,-2,-2,-2,76910,22972,28336,30281
14784,-2,-2,-2,-2,29862,33785,4900,15813
18891,0,0,0,0,205683,196807,191752,178560
21688,-2,-2,-1,-1,0,0,0,0
20004,-1,0,0,0,10677,31405,26717,25434
7761,2,0,-1,2,6270,14412,12540,1261
12442,0,0,0,0,362816,372284,380257,386847
22715,-1,-1,-1,-2,66132,6917,3050,1760
18130,0,0,0,0,42598,44610,46666,48685
6709,2,0,0,0,26133,28926,28167,28568
13906,0,0,0,-1,1663,14045,13155,15183
1132,-1,-1,-1,-1,0,3346,0,465
1956,2,2,2,2,8722,9592,9289,10140
4992,0,0,0,0,246659,248934,246011,240845
15002,0,0,0,0,75356,78236,77700,58025
12986,0,0,0,0,95716,96181,99933,102278
14351,0,0,0,0,27849,29094,29352,29766
15485,-2,-2,-2,-2,0,0,0,0
6285,0,0,0,0,30697,40139,49410,58549
21174,-1,-1,-1,-1,-18,6390,8833,9906
9841,2,2,-2,-1,1050,2203,2005,0
2106,2,2,2,2,15383,16142,15586,17322
5958,0,0,0,0,98349,97473,91096,76371
9909,-2,-1,-1,-1,0,0,0,3602
2513,-1,-1,2,0,332,332,332,142202
16718,-1,-1,-1,-1,1226,390,390,390
15130,-2,-1,0,0,4966,-1390,-4661,129847
23204,0,-2,-2,-2,70548,42651,0,27549
8076,2,2,-1,0,0,203,203,0
20459,2,-1,-1,-1,825,1650,825,825
10205,0,0,0,2,72528,74047,75564,77242
1069,-1,-1,-1,-1,2159,760,2775,22813
15535,0,0,0,0,27784,33877,35420,26609
8781,0,0,0,0,53718,55851,56424,57584
5485,-2,-1,-1,-1,2038,11383,1661,1891
21999,0,0,0,0,97136,98767,101452,103471
21827,0,0,0,0,145165,149173,142730,148307
7604,2,0,0,0,19003,21876,21231,22071
7277,2,0,0,-1,18710,19132,18409,14301
22054,0,0,-1,0,50148,50761,35777,7464
637,0,0,0,0,5630,6629,5918,6918
6663,-2,-1,-1,-2,6347,0,0,46350
4454,-2,-2,-2,-2,1189,0,0,0
13402,-1,0,0,0,1486,-3341,116659,119808
14000,-2,-2,-2,-2,747,0,5737,922
18501,0,0,0,0,80975,82069,83808,85414
22602,-1,-1,-1,-1,17631,13184,1700,5190
14506,0,0,2,2,23778,24507,25892,27366
9809,-1,-1,-1,-1,441,28641,713,1344
13570,2,0,0,0,19056,18586,17418,15004
18486,0,2,2,2,131336,123443,132517,133747
17035,0,0,0,0,6902,7922,8939,9533
6500,0,0,2,0,141057,144306,141949,141345
11367,0,0,0,0,94450,96632,99127,100581
22936,-2,-2,-2,-2,4603,2698,6401,1864
8091,2,0,0,0,180922,184241,176857,175193
1726,0,0,0,0,58667,38323,32726,43579
2858,0,0,0,0,42292,43764,44030,48466
7055,0,0,0,0,49982,49650,48321,30281
197,-2,-2,-2,-2,0,0,0,116
19138,0,0,0,0,18341,16681,16678,16650
8308,0,0,0,0,81603,84249,85424,82632
9587,0,0,0,0,118303,98232,150952,77639
10782,0,0,0,0,29311,30862,26614,15571
12136,-2,-1,-1,-1,0,0,0,1888
15068,-1,-1,-1,-1,5375,0,7799,8506
5086,0,0,0,0,15941,14154,15109,14125
968,0,-1,-1,-1,996,4102,4111,1057
